"prob_gron","prob_todd","prob_epcon","prob_u.asam","prob_u.dr"
0.01,0.01,0,0,0
0.96,1.45,0.01,0,0
1.03,0,0,0,0
0.48,1.09,0.05,0,0
15.4,40.46,1.27,0,0
0,0,0,0,0
0.38,0.04,0,0,0
0.08,0,0,0,0
0.01,0,0,0,0
3.56,14.52,0,0,0
0.37,0.14,0,0,0
1.04,0,0,0,0
2.78,8,0.2,0,0
1.24,0,0,0,0
0.59,0.27,0,0,0
0.99,2.97,0.07,0,0
1.55,3.97,0.08,0,0
4.18,18.66,0,0,0
5,16.05,0.79,0,0
4.22,8.43,2.34,0.04,0.04
0.33,0.55,0,0,0
2.06,5.45,0.02,0,0
0,0,0,0,0
1.02,0,0,0,0
0.84,0.15,0,0,0
2.39,6.64,0.64,0,0
2.62,7.27,0.29,0,0
0.52,1.03,0.05,0,0
2.04,6.01,0.05,0,0.01
0.04,0.09,0,0,0
3.41,10.87,0.11,0,0
0.13,0.13,0,0,0
0.33,0,0,0,0
16.2,33.74,9.03,0.05,0.05
4.58,10.54,1.71,0,0.02
0.02,0,0,0,0
0,0,0,0,0
0.51,0.7,0,0,0
1.22,1.97,0,0,0
8.27,32.33,0.53,0,0
2.78,11.4,0,0,0
2.27,5.62,0.87,0,0.01
3.06,11.89,0.03,0,0
8.74,15.92,5.43,0.12,0.18
7.2,33.73,0,0,0
3.66,14.14,0.04,0,0
0,0,0,0,0
0.18,0.19,0,0,0
0.28,0,0,0,0
0.88,0,0,0,0
5.09,24.55,0,0,0
5.33,27.4,0.01,0,0
0.46,0.26,0,0,0
3.05,14.49,0,0,0
1.07,0,0,0,0
2.38,6.42,0.91,0,0
11.34,38.65,0.88,0,0
0.19,0,0,0,0
2,4.71,0.85,0,0
0.86,0,0,0,0
0,0,0,0,0
10.22,39.69,0.02,0,0
0.92,2.15,0.06,0,0
2.31,7.67,0.18,0,0
0.81,1.98,0.02,0,0
0,0,0,0,0
7.5,27.36,0.81,0,0
45.44,67.56,35.18,0.38,0.58
1.19,1.15,0,0,0
11.16,41.06,0,0,0
12.34,37.65,2.48,0,0
1.27,0,0,0,0
0.29,0,0,0,0
0.66,0,0,0,0
6.34,13.62,2.99,0.01,0
1.5,2.28,0,0,0
1.1,0,0,0,0
1.04,1.04,0,0,0
0.48,0.58,0,0,0
0.96,0,0,0,0
21.77,34.7,15.08,0.46,0.31
15.78,32.4,9.4,0.04,0.08
0.8,0,0,0,0
3.43,19.96,0,0,0
0.23,0,0,0,0
2.35,7.26,0.34,0,0
8,20.43,3.61,0.01,0
0.13,0,0,0,0
0.4,0.26,0,0,0
1.01,2.35,0.03,0,0
3.72,16.43,0.01,0,0
5.91,14.26,2.42,0,0
1.01,0,0,0,0
0.6,0.07,0,0,0
2.11,6.52,0,0,0
5.51,12.64,2.74,0.01,0.01
1.15,0.21,0,0,0
0.42,0.23,0,0,0
12.17,40.15,0.96,0,0
0,0,0,0,0
0.54,0,0,0,0
6.4,16.23,1.89,0,0
0.98,0,0,0,0
15.49,43.41,3.8,0,0
0.16,0.02,0,0,0
1.96,5.49,0.11,0,0
0,0,0,0,0
2.86,8.69,0.39,0,0
1.83,2.44,0,0,0
0.69,0.45,0,0,0
10.78,21.86,7.06,0.08,0.11
7.35,23.01,1.26,0,0
3.77,11.68,0.7,0,0
1.51,3.37,0.44,0,0
2.99,10.32,0.04,0,0
40.6,67.25,33.85,0,0
1.42,2.16,0,0,0
3.58,8.59,1.32,0,0.01
0.87,0.16,0,0,0
1.23,0.39,0,0,0
1.05,0.79,0,0,0
5.71,13.05,3.26,0.03,0.04
0.45,0,0,0,0
0.98,0.29,0,0,0
2.27,7.78,0.01,0,0
0,0,0,0,0
18.02,49.86,2.49,0,0.01
0,0,0,0,0
1.11,2.33,0.02,0,0
0,0,0,0,0
1.27,0.08,0,0,0
0.94,0,0,0,0
0.39,0,0,0,0
2.14,5.43,0.6,0,0
4.14,18.51,0,0,0
0.68,1.5,0.14,0,0
4.48,10.98,2.05,0,0
0.16,0.12,0,0,0
13.32,41.99,1.02,0,0
0.58,0.51,0,0,0
1.56,1.14,0,0,0
1.04,0,0,0,0
1.86,4.35,0,0,0
0.48,0,0,0,0
3.44,10.96,0.14,0,0
14.3,42.03,4.32,0,0
0.63,0.01,0,0,0
0.74,0.67,0,0,0
30.56,59.16,17.2,0,0
15.73,34.11,7.84,0.02,0.03
0.15,0,0,0,0
5.87,14.1,2.35,0.01,0.03
0.69,1.83,0.03,0,0
4.42,17.46,0.17,0,0
0.86,2.71,0.03,0,0
0,0,0,0,0
0.18,0,0,0,0
11.87,28.66,4.84,0.02,0.02
5.23,25,0,0,0
8.04,25.6,1.52,0,0
8.87,31.36,1.3,0,0
13.45,24.41,9,0.49,0.5
41.88,58.67,32.82,0.87,0.83
8.66,39.22,0,0,0
5.36,15.97,1.29,0,0.01
6.14,16.11,1.55,0,0
2.07,4.73,0.76,0,0.01
5.04,15.55,0.78,0,0
0.7,1.29,0.01,0,0
0,0,0,0,0
0,0,0,0,0
13.71,40.81,0.27,0,0
1.09,0,0,0,0
7.94,15.62,4.22,0.03,0.03
0.17,0.05,0,0,0
28.15,59.42,4.38,0,0
4.26,19.86,0,0,0
4.07,15.77,0.04,0,0
1.44,3.41,0.11,0,0
53.95,69.66,46.28,3.68,2.93
1.46,1.83,0,0,0
0,0,0,0,0
0,0,0,0,0
2.75,10.6,0,0,0
0,0,0,0,0
1.03,0,0,0,0
47.84,72.84,37.94,0.12,0.24
0.55,0.87,0,0,0
5.83,17.04,1.3,0,0.02
0.33,0.24,0,0,0
5.11,13.63,2,0,0
7.02,22.62,1.61,0,0
1.89,5.14,0,0,0
0.32,0.16,0,0,0
4.77,16.16,0.4,0,0
2.04,5.09,0.15,0,0
0.1,0,0,0,0
2.93,9.87,0,0,0
4.15,10.64,1.23,0,0
0.41,0.36,0,0,0
1.64,2.9,0,0,0
3.37,8.76,0.98,0,0
5.04,18.16,0.17,0,0
16.63,47.6,2.27,0,0
3.78,14.98,0.08,0,0
2.72,8.5,0.01,0,0
4.45,17.78,0.39,0,0
0.5,1.16,0.01,0,0
54.46,78.95,46.34,0,0.04
0.85,1.95,0.04,0,0
1.19,0.23,0,0,0
0.48,1.27,0.15,0,0
0,0,0,0,0
0.71,0,0,0,0
9.43,26.78,2.77,0,0.01
1.01,0.07,0,0,0
0.4,0.01,0,0,0
0.48,0.48,0,0,0
0.13,0,0,0,0
1.75,2.21,0,0,0
1.93,6.17,0.04,0,0
4.54,13.53,0.93,0,0
1.22,2.69,0.44,0,0
0.36,0,0,0,0
1.25,0,0,0,0
5.51,23.06,0.15,0,0
0,0,0,0,0
0,0,0,0,0
1.1,0,0,0,0
4.59,19.69,0.02,0,0
8.05,21.14,2.51,0,0
0.5,0,0,0,0
2.33,7.63,0.18,0,0
2.77,9.93,0,0,0
1.75,4.61,0.13,0,0
0.48,0.31,0,0,0
0.97,0,0,0,0
8.04,23.7,1.5,0,0.01
0,0,0,0,0
9.55,21.52,4.56,0.06,0.03
1.27,0.06,0,0,0
0.54,0,0,0,0
23.45,52.33,13.18,0.01,0.03
10.66,22.74,5.24,0.04,0.08
1.16,2.34,0.01,0,0
0,0,0,0,0
0,0,0,0,0
6.17,22.81,0.77,0,0
1.73,4.91,0.01,0,0
1.98,5.74,0.06,0,0
0.18,0,0,0,0
0,0,0,0,0
