"prob_gron","prob_todd","prob_epcon","prob_u.asam","prob_u.dr"
1.28,0.66,0,0,0
8.08,20.59,3.29,0.02,0.03
0.82,0,0,0,0
0,0,0,0,0
1.04,0,0,0,0
6.11,25.38,0.07,0,0
4.85,16.99,0.22,0,0
8.25,28.04,1.47,0,0
0,0,0,0,0
0.91,1.68,0,0,0
6.03,17.74,1.69,0,0.01
0.81,0.3,0,0,0
3.84,13.3,0.57,0,0
0.22,0.48,0,0,0
1.93,5.55,0.08,0,0
3.58,11.08,0.71,0,0
4.67,14.06,0.95,0,0
7.61,20.18,2.84,0,0.01
0,0,0,0,0
24.78,43.61,16.45,0.11,0.11
7.5,35.07,0.03,0,0
10.67,29.55,3.65,0,0
20.16,40.85,12.17,0.08,0.1
2.54,9.77,0.04,0,0
0.01,0,0,0,0
0.28,0.51,0.01,0,0
0.35,0,0,0,0
0.7,0.05,0,0,0
0.64,0.22,0,0,0
1.11,2.5,0.04,0,0
7,14.35,4.26,0.04,0.05
28.55,48.33,20.6,0.24,0.23
1.8,4.74,0.01,0,0
1.14,3.42,0.13,0,0
28.41,42.86,21.88,0.92,0.94
12.6,37.24,2.61,0,0
13.62,33.19,5.95,0,0.01
2.03,4.68,0,0,0
0.73,1.41,0.03,0,0
0,0,0,0,0
22.35,50.39,9.83,0,0
53.72,76.52,43.15,0.04,0.12
0,0,0,0,0
0,0,0,0,0
9.8,19.03,5.53,0.12,0.13
1.07,0.11,0,0,0
18.83,41.01,10.12,0.01,0.01
0.36,0.05,0,0,0
0.07,0.02,0,0,0
1.84,3.62,0,0,0
0.99,2.51,0.26,0,0
3.42,12.53,0.02,0,0
7.08,21.52,1.45,0,0
0.47,0.01,0,0,0
12.53,23.59,7.51,0.2,0.19
8.31,35.76,0.03,0,0
0.92,0.41,0,0,0
1.97,5.57,0.3,0,0
0.23,0,0,0,0
7.21,30.92,0.07,0,0
0.38,0.66,0,0,0
1,0,0,0,0
8.08,30.42,0.3,0,0
9.32,20.88,4.19,0,0.04
0.55,0.09,0,0,0
3.17,8.18,1.23,0.01,0.01
2.59,8.74,0,0,0
5.36,24.61,0,0,0
1.19,0,0,0,0
0,0,0,0,0
1.41,2.16,0,0,0
0,0,0,0,0
0.37,0.08,0,0,0
1.31,3.3,0.29,0,0
6.17,19.41,1.45,0,0
1.12,0,0,0,0
0.83,1.23,0,0,0
0.94,0,0,0,0
1.08,0.06,0,0,0
0.5,0.54,0,0,0
1.27,2.21,0,0,0
0.43,0.4,0,0,0
0.32,0,0,0,0
1.6,3.75,0,0,0
35.68,55.58,26.77,0.66,0.55
8,23.41,1.82,0,0
28.79,52.96,19.3,0.03,0.06
4.92,11.74,1.95,0.03,0.02
0.67,0.21,0,0,0
4.61,10.78,2.09,0.02,0.05
0,0,0,0,0
0.92,0.14,0,0,0
0.83,1.69,0.03,0,0
6.39,20.38,1.09,0,0
1.42,0.78,0,0,0
3.1,8.4,0.67,0,0
36.08,62.34,23.65,0.22,0.63
2.69,9.04,0.03,0,0
2.69,9.09,0.01,0,0
3.24,9.97,0.26,0,0
31.36,52.92,22.16,0.16,0.24
16.89,43.74,7,0,0
0.37,0.31,0,0,0
0.95,1.21,0,0,0
0,0,0,0,0
0,0,0,0,0
20.72,58.9,1.94,0,0
1.31,2.02,0,0,0
12.84,35.41,4.23,0,0.01
0.36,0.03,0,0,0
1.32,1.22,0,0,0
8.73,20.54,3.88,0.03,0.02
1.14,0,0,0,0
4.48,17.7,0.09,0,0
0.99,0,0,0,0
0,0,0,0,0
0.37,0.19,0,0,0
0.29,0,0,0,0
0.04,0.06,0,0,0
1.59,3.8,0,0,0
6.79,15.31,2.79,0,0
0.91,0.37,0,0,0
3.38,11.65,0.24,0,0
10.44,31.99,2.65,0,0
15.74,41.6,5.9,0,0
1.27,0,0,0,0
9.42,32.96,0.78,0,0
2.52,10.48,0,0,0
5.26,25.42,0,0,0
0.48,0.42,0,0,0
1.39,0,0,0,0
0.38,0.77,0.02,0,0
0,0,0,0,0
15.95,33.51,9.13,0.06,0.1
1.41,4.1,0.03,0,0
0,0,0,0,0
12.79,41.02,1.52,0,0
46.11,66.98,35.88,0.28,0.34
5.54,21.39,0.31,0,0
0,0,0,0,0
1.06,2.99,0.14,0,0
1.28,1.65,0,0,0
0.12,0,0,0,0
0.25,0.6,0,0,0
7.38,29.83,0.08,0,0
0,0,0,0,0
2.3,6.8,0.05,0,0
6.62,30.43,0.07,0,0
19.32,43.15,8.89,0.01,0.07
0.05,0,0,0,0
14,34.11,6.26,0,0.03
1.17,0,0,0,0
0.97,1.64,0,0,0
4.9,11.83,1.9,0,0
1.38,2.73,0,0,0
0.92,2.08,0.02,0,0
2.48,6.33,0.01,0,0
0.15,0.02,0,0,0
5.07,14.31,1.22,0,0.01
19.51,47.53,8.14,0,0.01
0.01,0,0,0,0
1.21,0.25,0,0,0
18.16,30.26,12.46,0.26,0.29
0.81,1.69,0.01,0,0
0.98,0.81,0,0,0
14.9,33.11,7.54,0,0.07
48.06,76.68,40.15,0,0.01
1.44,2.81,0,0,0
1.86,6.11,0.14,0,0
2.52,7.11,0.11,0,0
2.87,5.81,1.35,0.01,0.04
2.33,14.92,0,0,0
1.04,1.69,0,0,0
0.6,0.46,0,0,0
2.75,8.56,0.05,0,0
6.93,29.79,0.16,0,0
1.07,0,0,0,0
0.16,0.01,0,0,0
4.25,18.29,0,0,0
1.76,4.64,0.24,0,0
0.83,0.15,0,0,0
0.16,0.07,0,0,0
1.44,3.92,0.09,0,0
1.26,3.54,0.18,0,0
15.05,28.11,9.21,0.35,0.33
0.39,0.76,0,0,0
0.2,0.3,0,0,0
12.34,40.15,0,0,0
0.14,0.13,0,0,0
0,0,0,0,0
5.33,25.8,0.01,0,0
8.77,27.55,1.97,0,0
7.84,31.72,0.16,0,0
1.02,0,0,0,0
0.4,0.73,0,0,0
1.71,3.5,0.59,0,0
2.66,9.65,0.03,0,0
1.06,2.57,0.01,0,0
1.22,0,0,0,0
15.84,28.28,9.83,0.21,0.21
0.68,0.07,0,0,0
26.91,49.62,17.6,0.03,0.08
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1.37,0.46,0,0,0
0.6,0,0,0,0
4.75,14.87,0.84,0,0
3.91,9.61,1.44,0,0
3.94,12.91,0.28,0,0
100,100,83.89,0.08,0.76
6.93,15.58,3.02,0.01,0
1.69,4.4,0,0,0
32.67,55.29,22.25,0.01,0.07
26.65,42.11,19.27,0.55,0.53
2.37,7.59,0.05,0,0
1.43,2.53,0,0,0
1.09,0,0,0,0
1.95,5.51,0.17,0,0
0.86,1.74,0.02,0,0
14.12,26.74,8.99,0.09,0.08
2.72,7.45,0.24,0,0
1.6,4.25,0,0,0
1.01,2.61,0.24,0,0
0,0,0,0,0
5.65,18.18,0.68,0,0.01
0,0,0,0,0
0.96,0.08,0,0,0
21.86,45.33,11.08,0.03,0.04
0,0,0,0,0
15.46,35.4,7.97,0.01,0.06
1.39,1.9,0,0,0
46.61,61.51,38.39,2.27,1.99
1.77,4.35,0,0,0
1.03,1.42,0,0,0
0.01,0,0,0,0
1.82,4.93,0.09,0,0
3.27,11.85,0.12,0,0
20.36,39.69,12.33,0.02,0.05
0.9,0.1,0,0,0
1.05,0,0,0,0
0.72,0.02,0,0,0
15.03,30.86,7.89,0.05,0.05
0.21,0.19,0,0,0
0,0,0,0,0
2.61,7.59,0.2,0,0
0.69,0,0,0,0
1.32,2.82,0,0,0
1.4,0.06,0,0,0
0.06,0,0,0,0
8.85,29.71,0.93,0,0
2.83,13.18,0,0,0
1.77,4.79,0,0,0
1.51,0.71,0,0,0
0.57,0,0,0,0
0.08,0.02,0,0,0
4.29,9.33,1.91,0.02,0
0.15,0,0,0,0
2.05,5.46,0.02,0,0
0.45,0,0,0,0
18.61,29.14,13.47,0.68,0.53
10.21,18.87,5.95,0.08,0.1
3.48,9.07,0.94,0,0
1.99,5.98,0.01,0,0
0.43,0.31,0,0,0
0.21,0,0,0,0
0.55,1.21,0.1,0,0
3.42,12.47,0.23,0,0
0,0,0,0,0
0.12,0,0,0,0
0.98,0.03,0,0,0
0.44,0.47,0,0,0
43.73,70.46,35.67,0,0
2.31,5.47,0.9,0,0
1.06,2.36,0.03,0,0
0.3,0.41,0,0,0
0,0,0,0,0
8.51,17.33,4.34,0,0
1.06,0,0,0,0
0.47,1.05,0.05,0,0
3,13.67,0,0,0
0.13,0.18,0,0,0
14.97,42.62,3.16,0,0
0,0,0,0,0
2.99,12.72,0.03,0,0
1.35,3.43,0.04,0,0
0,0,0,0,0
1.65,3.58,0,0,0
4.1,9.58,1.57,0.01,0.01
21.72,57.92,2.29,0,0
0.01,0,0,0,0
0.7,1.42,0.02,0,0
0,0,0,0,0
1.05,2.25,0.05,0,0
2.15,0.02,0,0,0
12.29,28.27,5.96,0,0.01
6.58,25.63,0.29,0,0
0,0,0,0,0
2.91,10.6,0,0,0
1.47,4.11,0.06,0,0
1.28,2.64,0,0,0
4.69,23.77,0,0,0
1.93,5.72,0.11,0,0
5.64,28.55,0,0,0
0,0,0,0,0
0.8,0.6,0,0,0
1.23,0,0,0,0
1.16,2.67,0.15,0,0
37,58.23,27.55,0.24,0.26
9.56,25.3,3.82,0,0.02
0.53,0,0,0,0
1.08,1.17,0,0,0
5.17,27.5,0,0,0
0.24,0.22,0,0,0
0.16,0.02,0,0,0
10.41,24.13,4.44,0.03,0.04
1.26,3.35,0.24,0,0
0.04,0.02,0,0,0
12.15,40.75,1.47,0,0
9.2,29.3,2.02,0,0
1.63,1.8,0,0,0
1.07,0.25,0,0,0
5.97,19.51,1.1,0,0
0.23,0.02,0,0,0
19.39,49.93,3.2,0,0
23.32,40.19,16.41,0.27,0.39
0.55,1.11,0,0,0
44.38,70.78,33.85,0,0.05
0,0,0,0,0
0.34,0.06,0,0,0
8.13,19.79,3.4,0,0.01
1.73,3.35,0,0,0
0.01,0,0,0,0
0.39,0,0,0,0
10,37.36,0.4,0,0
0.14,0.13,0,0,0
0,0,0,0,0
0,0,0,0,0
0.87,0.55,0,0,0
9.92,40.16,0.04,0,0
3.33,19.91,0,0,0
0,0,0,0,0
4.66,9.65,2.5,0.05,0.04
1.82,2.56,0,0,0
0.91,2.15,0.09,0,0
14.31,44.27,1.59,0,0
0.2,0.48,0,0,0
0.72,1.01,0,0,0
2.96,8.72,0.29,0,0
1.94,4.56,0,0,0
0.31,0,0,0,0
5.33,23.48,0,0,0
4.89,17.88,0.73,0,0
2.54,8.16,0.07,0,0
0,0,0,0,0
2.04,4.86,0.49,0,0
8.85,39.31,0,0,0
13.56,31.27,6.56,0,0
7.17,29.43,0.2,0,0
0.89,1.45,0,0,0
0.19,0.01,0,0,0
0.13,0.3,0.01,0,0
0.8,0.1,0,0,0
15.77,32.8,8.5,0.04,0.06
3.65,16.43,0,0,0
22.14,46.64,12.68,0.02,0.01
32.32,63.01,19.61,0,0.02
0,0,0,0,0
2.04,5.83,0.06,0,0
0,0,0,0,0
0,0,0,0,0
0.93,0.46,0,0,0
2.41,6.01,0.53,0,0
1.43,2.2,0,0,0
3.76,9.82,1.03,0.02,0.04
7.08,13.78,4.44,0.13,0.13
0.43,0,0,0,0
8.49,39.93,0,0,0
0.02,0,0,0,0
1.15,0,0,0,0
1.54,2.58,0,0,0
3.47,12.82,0.18,0,0
0.87,0.59,0,0,0
0,0,0,0,0
12.4,25.87,6.06,0.06,0.08
0.7,0.8,0,0,0
1.37,3.36,0.04,0,0
1.08,0,0,0,0
0.31,0,0,0,0
7.97,36.19,0,0,0
6.79,25.32,0.9,0,0
1.02,0,0,0,0
0.96,0,0,0,0
6.55,24.13,0.3,0,0
5.27,13.2,1.97,0,0.01
5.99,23.45,0.2,0,0
6.82,15.52,3.05,0.03,0.04
32.15,59.3,20.59,0.02,0.17
15.33,44.28,2.74,0,0
1.02,3.4,0.15,0,0
2.07,5.63,0.48,0,0
2.68,9.51,0,0,0
0.15,0,0,0,0
4.32,14.31,0.48,0,0
27.23,49.35,17.73,0.13,0.29
3.61,15.7,0,0,0
4.19,15.64,0.05,0,0
0,0,0,0,0
2.13,5.52,0.41,0,0.01
20.15,44.2,9.94,0,0
0.75,1.57,0,0,0
1,0.07,0,0,0
0.33,0.04,0,0,0
18.6,52.63,1.76,0,0
0.38,0.34,0,0,0
2.11,4.99,0.61,0.01,0
5.69,27.72,0,0,0
1.47,3.52,0.33,0.02,0.01
1.66,2.01,0,0,0
18.2,59.69,1.99,0,0
14.78,31.57,8.79,0.07,0.1
2.22,7.05,0.18,0,0
0.01,0,0,0,0
1.56,2.21,0,0,0
35.42,63.67,23.27,0,0.01
0.72,0,0,0,0
1.5,2.49,0,0,0
0.62,1.36,0.02,0,0
4.99,16.75,0.75,0,0
1.46,3.43,0.01,0,0
0.78,0,0,0,0
3.52,11.46,0.16,0,0
0,0,0,0,0
31.07,44.58,24.58,2.3,1.96
0.38,0.7,0,0,0
4.42,19.07,0,0,0
1.19,2.74,0.13,0,0
14.55,32.45,8.19,0.03,0
1.22,1.47,0,0,0
8.1,21.02,3.19,0.01,0.05
37.51,50.64,30.6,3.03,2.55
0.62,0.03,0,0,0
3.9,20.54,0,0,0
0,0,0,0,0
27.85,46.82,19.69,0.2,0.19
4.28,21.19,0,0,0
1.15,0,0,0,0
0.19,0.01,0,0,0
18.79,31.02,14.03,0.69,0.53
11.75,26.53,5.97,0.02,0.04
0,0,0,0,0
2.22,6.9,0.14,0,0
14.75,41.27,3.43,0,0
5.77,21.14,0.57,0,0
0,0,0,0,0
0.8,0,0,0,0
3.43,16.23,0,0,0
17.41,37.34,9.55,0.09,0.13
0.06,0.01,0,0,0
1.07,0,0,0,0
3.7,13.37,0.15,0,0
0.77,1.08,0.01,0,0
0.79,0.04,0,0,0
1.73,4.22,0,0,0
16.01,43.72,4.5,0,0
3.45,15.18,0,0,0
1.08,0.07,0,0,0
0.82,1.61,0.23,0,0
3.49,10.17,0.72,0,0
1.77,1.98,0,0,0
19.2,44.2,9.75,0,0
6.41,21.68,1.15,0,0
1.7,4.05,0,0,0
1.66,2.04,0,0,0
1.03,1.91,0,0,0
0.19,0.05,0,0,0
0.64,0.36,0,0,0
0.32,0.1,0,0,0
0,0,0,0,0
13.23,40.96,2.32,0,0
11.31,39.09,0.84,0,0
3.15,9.12,0.43,0,0
0.01,0,0,0,0
0,0,0,0,0
3.96,18.96,0,0,0
4.66,14.87,0.61,0,0
0.08,0,0,0,0
1.16,2.11,0,0,0
1.18,0.03,0,0,0
0.53,0,0,0,0
2.63,6.83,0.55,0,0
0.25,0.24,0,0,0
0.01,0,0,0,0
3.48,19.18,0,0,0
10.04,22.61,4.51,0.05,0.09
5.97,21.74,0.42,0,0
4.21,10.09,1.23,0,0.01
1.19,0,0,0,0
1.11,1.35,0,0,0
2.25,4.99,0.64,0.01,0
4.72,10.5,2.17,0.05,0.03
19.53,50.91,4.84,0,0
1.92,5.18,0,0,0
8.24,18.08,3.46,0.02,0.04
31.26,52.11,22.02,0.15,0.26
1.86,3.61,0,0,0
3.98,17.4,0,0,0
0.7,0.56,0,0,0
14.12,44.33,1.57,0,0
2.53,7.33,0.09,0,0
0.97,2.32,0,0,0
7.22,26.52,0.5,0,0
0.76,1.96,0.07,0,0
28.65,46.86,20.59,0.45,0.35
7.19,27.35,0.26,0,0
3.08,8.64,1.16,0,0.02
4.95,10.14,2.37,0.03,0.01
21.43,52.76,8.15,0,0
0.98,0,0,0,0
5.07,18.16,0.19,0,0
1.66,4.58,0,0,0
1.07,0.04,0,0,0
0,0,0,0,0
2.55,8.29,0.03,0,0
13.29,21.85,9.21,0.37,0.38
1.79,4.28,0.64,0,0
1.09,1.69,0,0,0
1.66,4.03,0,0,0
0.39,0.02,0,0,0
0,0,0,0,0
3.56,19.1,0,0,0
3.22,20.52,0,0,0
1.09,0.24,0,0,0
1.28,3.21,0.04,0,0
2.82,12.65,0,0,0
1.96,4.84,0,0,0
1.93,4.82,0.58,0,0
10.05,22.59,4.07,0,0.02
0,0,0,0,0
10.47,17.68,6.85,0.17,0.19
0.6,0.04,0,0,0
0.81,0,0,0,0
0.4,0.7,0.04,0,0
5.42,24.23,0.11,0,0
3.02,7.6,0.85,0,0
5.58,21.32,0.17,0,0
1.93,5.33,0,0,0
49.71,73.25,39.68,0.19,0.35
0.56,0.21,0,0,0
4.66,16.7,0.12,0,0
2.68,12.76,0,0,0
7.62,18.42,3.43,0.02,0.01
3.89,8.05,1.73,0.05,0.04
1.18,0,0,0,0
12.75,40.35,0.07,0,0
0,0,0,0,0
6.21,31.91,0,0,0
0.63,0.55,0,0,0
0.56,0,0,0,0
20.59,39.36,12.31,0.02,0.1
0.15,0.03,0,0,0
2.48,6.5,0.51,0,0
0.6,1.38,0.03,0,0
1,1.95,0,0,0
49.74,74.12,39.09,0,0.05
1.23,2.74,0,0,0
20.4,46.39,9.17,0,0
0.14,0,0,0,0
0.6,1.12,0,0,0
0.56,1.42,0,0,0
2.71,7.08,0.75,0,0
0,0,0,0,0
1.38,3.67,0.04,0,0
0.55,0,0,0,0
2.41,6.26,0.6,0,0
0.17,0.45,0.02,0,0
0.68,0,0,0,0
0.14,0.02,0,0,0
2.97,8.96,0.55,0,0
0.05,0,0,0,0
3.15,8.62,0.65,0,0
0.09,0,0,0,0
6.16,18.94,1.56,0,0
2.24,6.72,0,0,0
0.73,1.23,0.01,0,0
1,0.03,0,0,0
0.18,0.05,0,0,0
6.9,22.33,1.22,0,0.01
0,0,0,0,0
2.22,5.49,0.2,0,0
0.68,0.14,0,0,0
0.23,0.36,0,0,0
0.59,0,0,0,0
0.35,0.54,0,0,0
1.58,3.58,0,0,0
3.73,19.57,0,0,0
4.25,19.89,0,0,0
0.42,0,0,0,0
0.03,0,0,0,0
3.49,16.72,0,0,0
2.27,5.15,0.45,0,0
0,0,0,0,0
19.53,50.71,6.01,0,0
0,0,0,0,0
7.86,34.51,0.07,0,0
0.17,0,0,0,0
1.45,0.84,0,0,0
0.54,1.27,0.04,0,0
1.24,0,0,0,0
0.94,0,0,0,0
1.45,2.04,0,0,0
2.33,5.69,0.67,0,0
1.31,2.35,0,0,0
5.64,16.03,0.66,0,0.01
0.01,0,0,0,0
0.38,0,0,0,0
1.02,2.14,0.08,0,0
0.59,0,0,0,0
1.86,4.94,0,0,0
11,28.82,4.12,0,0
0.33,0.14,0,0,0
6.82,29.88,0,0,0
0,0,0,0,0
2.44,8.58,0.01,0,0
11.74,41.29,0.35,0,0
2.08,6.36,0,0,0
2.43,4.79,1.63,0.07,0.03
0,0,0,0,0
0.38,0.01,0,0,0
10.74,37.93,0.89,0,0
0,0,0,0,0
2.62,8.17,0,0,0
8.12,19.61,3.54,0.04,0.01
54.29,78.26,46.83,0,0
5.51,23.73,0.09,0,0
0.2,0.16,0,0,0
4.97,22.41,0.05,0,0
1.83,4.26,0,0,0
0.16,0.03,0,0,0
0.06,0,0,0,0
13.1,41.52,0.18,0,0
5.75,12.93,2.65,0.01,0
12.87,22.52,8.95,0.62,0.54
1.36,2.86,0.02,0,0
1.12,0,0,0,0
4.85,21.59,0,0,0
1.07,0,0,0,0
0.6,0.96,0,0,0
0,0,0,0,0
1.07,1.96,0.01,0,0
0.2,0,0,0,0
9.06,19.27,4.23,0.04,0.02
3.7,11.21,0.63,0,0
2.2,7.41,0,0,0
47.49,64.01,38.27,2.07,1.93
2.17,0,0,0,0
0.38,0.41,0,0,0
9.67,30.29,1.77,0,0.01
0.92,0,0,0,0
0,0,0,0,0
13.51,42.4,1.05,0,0
0.91,0.15,0,0,0
27.06,38.36,21.88,2.5,2.04
0,0,0,0,0
3.11,10.54,0.15,0,0
1.15,0.2,0,0,0
1.18,0,0,0,0
0,0,0,0,0
1.44,3.25,0.28,0,0.01
16.51,26.53,12.11,0.7,0.67
3.28,8.89,0.78,0,0
7.82,23.51,1.38,0,0
4.57,14.91,1.09,0,0
26.45,47.5,18.33,0.08,0.09
1.16,0,0,0,0
14.08,40.65,0.56,0,0.01
6,18.46,1.06,0,0
2.22,4.78,0,0,0
0.28,0.13,0,0,0
1.41,3.64,0.18,0,0
1.12,0.09,0,0,0
0.87,1.59,0,0,0
20.93,48.66,9.32,0,0
47.36,67.22,38.24,1.51,1.49
1.07,0,0,0,0
3.4,12.65,0.03,0,0
25.09,47.78,15.97,0.02,0.03
1.62,5,0.25,0,0
11.02,26.98,4.66,0.02,0.03
21.12,31.36,16.26,1.65,1.38
5.2,18.88,0.41,0,0
5.13,19.01,0.63,0,0
4.85,13.86,1.4,0,0.03
2.1,5.58,0.4,0,0.01
1.62,3.87,0.72,0,0.01
0.47,0.24,0,0,0
1.13,0.03,0,0,0
5.23,14.95,1.24,0,0.01
1.6,3.8,0.01,0,0
1.4,0.31,0,0,0
1.07,0.27,0,0,0
0.62,0.07,0,0,0
0.14,0,0,0,0
0.91,2.27,0.1,0,0
1.16,2.67,0,0,0
1.62,0,0,0,0
0.96,0.34,0,0,0
0.59,0,0,0,0
0,0,0,0,0
16.7,28.26,12.15,0.35,0.37
0.47,0,0,0,0
0.39,0.12,0,0,0
1.09,3.07,0.08,0,0
0.93,0.02,0,0,0
1.41,4.54,0.1,0,0
0.74,0,0,0,0
1.26,0,0,0,0
0.27,0.59,0.02,0,0
0.05,0,0,0,0
14.86,41.88,0.79,0,0
0.38,0.69,0.01,0,0
41.49,68.23,33.54,0,0
0.92,0,0,0,0
1.86,4.03,0,0,0
1.13,0,0,0,0
10.53,26.83,3.47,0,0
0.49,1.03,0.04,0,0
2.87,8.96,0.03,0,0
0.13,0.04,0,0,0
3.53,13.33,0.07,0,0
0.43,0.27,0,0,0
12.4,41.09,0.67,0,0
21.25,44.53,11.58,0,0.01
1.02,0.03,0,0,0
0.83,1.34,0,0,0
1.22,0,0,0,0
12.47,40.75,0.51,0,0.01
2.62,8.45,0.1,0,0
48.04,64.71,38.91,2.64,2.33
2.99,7.48,1.35,0.01,0.01
1.87,5.15,0.17,0,0
1.2,2.96,0.02,0,0
23.29,46.12,14.09,0.08,0.16
1.82,3.29,0,0,0
0,0,0,0,0
1.64,4.87,0,0,0
1.43,3.13,0.02,0,0
10.06,29.16,2.71,0,0
0.57,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3.25,9.06,0.59,0,0
26.25,47.4,17.55,0.04,0.14
0.01,0,0,0,0
0,0,0,0,0
2.48,5.31,0,0,0
0.01,0,0,0,0
0.09,0,0,0,0
0.68,1.7,0.01,0,0
0,0,0,0,0
6.84,28.21,0.15,0,0
11.82,41.71,0.66,0,0
0.01,0,0,0,0
3.04,9.93,0.18,0,0
0,0,0,0,0
1.2,1.95,0,0,0
0.99,1.45,0,0,0
0,0,0,0,0
1.64,4.46,0.49,0,0.01
11.58,21.56,7.47,0.18,0.18
0,0,0,0,0
0,0,0,0,0
0.02,0,0,0,0
5.4,11.63,2.68,0.01,0.01
3.12,9.28,0.31,0,0
15.06,45.11,2.88,0,0
4.23,19.05,0,0,0
0.56,0.07,0,0,0
10.79,25.1,5.19,0.02,0.03
0.71,0.31,0,0,0
1.11,0.66,0,0,0
1.53,2.17,0,0,0
0.06,0,0,0,0
0.33,0.04,0,0,0
7.25,35.27,0,0,0
1,2.73,0.1,0,0
7.69,31.91,0.23,0,0
0.29,0,0,0,0
2.03,6.18,0.11,0,0
0.87,2.42,0.09,0,0
3.68,14.89,0.01,0,0
0,0,0,0,0
0.29,0.64,0.04,0,0
1,0.87,0,0,0
4.58,11.98,2,0,0.02
0.34,0.19,0,0,0
2.86,8.77,0.09,0,0
3.24,11.38,0.2,0,0
1.16,0,0,0,0
1.71,3.88,0.33,0,0
2.58,17.65,0,0,0
1.33,3.26,0.37,0,0
2.36,6.54,0.35,0,0
8.84,40.17,0,0,0
0,0,0,0,0
1.37,3.75,0.05,0,0
14.92,35.39,5.81,0,0
4.75,23.99,0,0,0
7.79,24.11,1.28,0,0
0,0,0,0,0
1.92,5.28,0,0,0
1.09,0,0,0,0
38.96,66.6,30.43,0.02,0.05
0.12,0,0,0,0
7.53,16.18,3.78,0.06,0.08
1.83,4.37,0,0,0
1.2,3.7,0.17,0,0
8.07,22.79,2.24,0,0
6.94,33.4,0.02,0,0
3.02,14.72,0,0,0
0.07,0.02,0,0,0
3.86,6.76,2.59,0.2,0.15
10.28,22.11,5.51,0.07,0.1
3.17,16.25,0,0,0
6.23,18.69,1.47,0,0.01
0.11,0,0,0,0
0.7,0.32,0,0,0
4.27,11.28,1.52,0,0
1.02,1.53,0,0,0
1.46,4.2,0.14,0,0
0,0,0,0,0
28.83,54.95,17.62,0,0.04
1.51,0.07,0,0,0
5.43,20.1,0.13,0,0
0.94,1.98,0.08,0,0
0.14,0.26,0,0,0
1.88,5.97,0.3,0,0
1.78,3.48,0,0,0
0.73,1.45,0.03,0,0
2.91,10.18,0.11,0,0
0.32,0.39,0,0,0
4.58,18.24,0.16,0,0
8.56,17.1,5.12,0.15,0.09
9.14,33.47,0.66,0,0
3.48,19.97,0,0,0
4.78,20.22,0.04,0,0
9.69,24.4,3.99,0,0.01
0.02,0,0,0,0
2.94,8.05,0.4,0,0
0,0,0,0,0
0.08,0.04,0,0,0
18.49,45.77,7.39,0,0.02
2.07,2.2,0,0,0
13.82,38.31,4.52,0,0.01
0.48,1.19,0.08,0,0
1.25,2.82,0,0,0
13.35,41.55,2.14,0,0.01
0.22,0.05,0,0,0
15.28,36.17,6.65,0.01,0.04
0.51,0.16,0,0,0
3.7,13,0.28,0,0
6.99,14.7,3.36,0.04,0.04
8.46,26.04,1.7,0,0.01
1.17,0.01,0,0,0
6.95,37.47,0,0,0
0.14,0.07,0,0,0
0.71,0.82,0,0,0
0,0,0,0,0
7.41,28.11,0.32,0,0
10.77,27.28,4.72,0.02,0.08
1.43,2.22,0,0,0
44.5,70.85,33.85,0.04,0.18
12.93,42.09,1.67,0,0
2.3,5.87,0.03,0,0
1.12,0,0,0,0
0,0,0,0,0
11.72,22.35,6.84,0.08,0.14
2.17,6.75,0,0,0
0.67,0.99,0,0,0
1.45,1.77,0,0,0
0.55,0.6,0,0,0
1.06,0,0,0,0
1.19,2.81,0.01,0,0
1.42,1.99,0,0,0
14.17,44.04,0.91,0,0
4.7,15.84,0.57,0,0
0,0,0,0,0
1.66,5.27,0.18,0,0
1.83,3.67,0,0,0
18.16,32.21,12.42,0.15,0.13
18.54,49.55,3.92,0,0.03
11.29,26.82,5.34,0.01,0.01
1.15,0,0,0,0
5.04,16.2,0.44,0,0
1.34,2.16,0,0,0
0,0,0,0,0
0.55,0,0,0,0
0,0,0,0,0
1.53,5.44,0,0,0
2.66,8.14,0.34,0,0
0.14,0.03,0,0,0
53.47,75.75,42.73,0,0
5.52,12.37,2.56,0.03,0.04
8.52,19.58,3.48,0.04,0.03
4.89,14.53,0.83,0,0.01
0.1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
34.97,65.26,23.59,0.05,0.1
0,0,0,0,0
7.95,25.48,1.42,0,0
3.34,14.53,0.01,0,0
21.59,34.01,16.14,0.92,0.82
0.26,0.25,0,0,0
0.1,0,0,0,0
1.14,0,0,0,0
0.45,0.98,0.04,0,0
0,0,0,0,0
10.85,37.87,1.05,0,0.01
1.29,3.21,0,0,0
2.61,6.58,0.9,0,0.01
33.49,56.33,23.55,0.12,0.25
0.74,0.09,0,0,0
7.81,32.79,0.02,0,0
0.93,0.03,0,0,0
11.97,23.33,7.82,0.08,0.06
0.32,0,0,0,0
0.64,0.08,0,0,0
1.02,2.19,0.13,0,0
0.97,0.48,0,0,0
4.16,9.97,1.2,0,0.01
0.79,0,0,0,0
20.33,34.2,14.59,0.79,0.52
1.02,0.38,0,0,0
5.09,10.18,2.69,0.05,0.06
0.01,0.02,0,0,0
0.27,0,0,0,0
0.1,0,0,0,0
