iter,M_lnCltot.1.,SD_lnCltot.1.,M_lnClmet.1.,SD_lnClmet.1.,M_lnkufrac.1.,SD_lnkufrac.1.,M_lnVdist.1.,SD_lnVdist.1.,M_lnVdistmet.1.,SD_lnVdistmet.1.,M_lnkgutabs.1.,SD_lnkgutabs.1.,M_lnFgluc.1.,SD_lnFgluc.1.,geomM_Cltot,geomSD_Cltot,geomM_Clmet,geomSD_Clmet,geomM_kufrac,geomSD_kufrac,geomM_Vdist,geomSD_Vdist,geomM_Vdistmet,geomSD_Vdistmet,geomM_kgutabs,geomSD_kgutabs,geomM_Fgluc,geomSD_Fgluc,Z score,Rand.indiv._Cltot,Rand.indiv._Clmet,Rand.indiv._kufrac,Rand.indiv._Vdist,Rand.indiv._Vdistmet,Rand.indiv._kgutabs,Rand.indiv._Fgluc
33950,0.523796,0.501724,3.32368,0.00246425,-1.61235,0.441122,1.84252,0.340708,1.47843,0.033622,4.57993,0.0478913,-2.73894,0.67819,1.688424761,1.651566118,27.76232817,1.002467289,0.19941843,1.554450334,6.312425547,1.405942646,4.386054167,1.034193608,97.50756844,1.049056617,0.064638828,1.970308245,0.094672566,1.770559323,27.76880579,1.334393242,6.519356669,1.189566271,1.618476098,0.068925159
44100,0.634324,0.336292,4.52206,0.0470046,-1.46617,0.429947,1.42163,0.545521,1.79741,0.0979193,3.74463,0.208293,-3.20147,0.709552,1.885746946,1.399747691,92.0249743,1.04812683,0.230807788,1.537176051,4.143869446,1.725507137,6.033999151,1.10287378,42.29335578,1.231573968,0.040702328,2.033080235,-2.078712686,0.937320087,83.45862013,32.38492962,1.333288673,0.026294916,0.000512753,0.009312248
39100,0.285049,0.454676,3.89837,0.205429,-1.55548,0.343828,1.16158,0.546403,2.2679,0.246943,3.8207,0.153371,-2.43902,0.732911,1.329827188,1.575662786,49.32198871,1.228051786,0.211088036,1.410336037,3.194977354,1.727029706,9.659095401,1.280106145,45.63614244,1.165757395,0.087246311,2.081129968,0.797749079,1.911266976,58.10494636,0.407768879,4.940529393,7.815884491,24.56520242,0.156556091
32700,0.528352,0.387084,4.06796,0.0390414,-1.75525,0.341322,1.20355,0.554251,2.24516,0.00845469,3.4355,0.182867,-2.44995,0.568012,1.696134774,1.472680191,58.43762815,1.039813531,0.172864021,1.40680616,3.331924283,1.740636759,9.441926144,1.008490532,31.04693215,1.20065471,0.086297901,1.764755228,1.689477228,3.261938346,62.42211104,0.072502596,8.498965438,44.77282554,398.2444513,0.225303553
30550,0.40543,0.475806,3.62167,0.294315,-1.48968,0.32224,1.15956,0.612312,2.51411,0.403598,3.68448,0.423746,-2.95514,0.562862,1.499947339,1.609310779,37.39997365,1.342206632,0.225444786,1.380215988,3.188530014,1.844691399,12.35560739,1.497201951,39.82440837,1.527673515,0.05207137,1.755690102,0.429194431,1.839775007,42.43563083,0.728241642,4.146899309,4.404558429,7.426868462,0.066300174
38950,0.328923,0.403079,5.06518,0.0684914,-1.56387,0.344989,1.72437,0.539481,1.61389,0.392463,3.03341,0.0231543,-2.18015,0.838129,1.389470862,1.496425105,158.4089531,1.070891415,0.209324416,1.411974388,5.608986255,1.715116486,5.022310064,1.480623081,20.76793062,1.023424442,0.113024576,2.312037106,1.015323474,2.092121391,169.8169218,0.288562112,9.699920826,7.622339944,22.26568446,0.264694764
37550,0.412397,0.547919,5.05388,0.140445,-1.28492,0.484297,1.81284,0.457195,2.13514,0.151741,2.92952,0.111001,-2.53749,0.805012,1.51043396,1.729649869,156.6290076,1.150785785,0.276672717,1.623033615,6.127825768,1.579636883,8.458230576,1.163858758,18.71864339,1.117396024,0.079064603,2.236723339,-0.204214314,1.350539439,152.2005594,2.11001711,5.581593096,0.752552023,0.6143141,0.067078951
27550,0.594386,0.405396,3.59848,0.105015,-1.50761,0.384083,1.56069,0.588978,2.20688,0.354706,4.10404,0.154412,-2.6938,0.700888,1.811918086,1.499896341,36.54264738,1.110727271,0.221438584,1.468267303,4.762105965,1.802145681,9.08731968,1.425761419,60.58455545,1.16697158,0.067623481,2.015541714,-0.503939587,1.477115068,34.65904686,3.138758567,3.539129064,0.468870721,0.147522256,0.047500967
26150,0.631727,0.449953,2.57775,0.180416,-1.64776,0.355198,1.34533,0.374272,1.67881,0.344081,4.50281,0.144974,-2.59617,0.648124,1.880856014,1.568238477,13.16747798,1.197715509,0.192480583,1.426463066,3.839453351,1.453932566,5.359174757,1.410692897,90.27043516,1.156009514,0.074558591,1.911950643,1.284302848,3.352153314,16.60093108,0.171868632,6.209054287,12.18470486,375.3825761,0.171395333
29400,0.30631,0.483059,5.25802,0.0594332,-1.71597,0.387447,1.56443,0.42263,1.94478,0.0428694,2.88677,0.179703,-3.04799,0.636658,1.358403346,1.621025543,192.100755,1.061234868,0.179789241,1.473214871,4.779949588,1.525969583,6.992093425,1.043801565,17.93528497,1.196861842,0.047454212,1.890153419,-1.954069846,0.528548332,171.0375933,42.12208695,2.092964456,0.023345138,0.004248254,0.013676665
