Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt	19.2		0.00631923
1_1	1	Ccpt	19.3		0.0061618
1_1	1	Ccpt	19.4		0.00600828
1_1	1	Ccpt	19.5		0.00585858
1_1	1	Ccpt	19.6		0.00571261
1_1	1	Ccpt	19.7		0.00557029
1_1	1	Ccpt	19.8		0.00543151
1_1	1	Ccpt	19.9		0.00529619
1_1	1	Ccpt	20		0.00516423
1_1	1	Ccpt	20.1		0.00503557
1_1	1	Ccpt	20.2		0.00491011
1_1	1	Ccpt	20.3		0.00478777
1_1	1	Ccpt	20.4		0.00466848
1_1	1	Ccpt	20.5		0.00455217
1_1	1	Ccpt	20.6		0.00443875
1_1	1	Ccpt	20.7		0.00432816
1_1	1	Ccpt	20.8		0.00422032
1_1	1	Ccpt	20.9		0.00411517
1_1	1	Ccpt	21		0.00401265
1_1	1	Ccpt	21.1		0.00391267
1_1	1	Ccpt	21.2		0.00381519
1_1	1	Ccpt	21.3		0.00372014
1_1	1	Ccpt	21.4		0.00362746
1_1	1	Ccpt	21.5		0.00353709
1_1	1	Ccpt	21.6		0.00344896
1_1	1	Ccpt	21.7		0.00336304
1_1	1	Ccpt	21.8		0.00327925
1_1	1	Ccpt	21.9		0.00319755
1_1	1	Ccpt	22		0.00311789
1_1	1	Ccpt	22.1		0.00304021
1_1	1	Ccpt	22.2		0.00296446
1_1	1	Ccpt	22.3		0.00289061
1_1	1	Ccpt	22.4		0.00281859
1_1	1	Ccpt	22.5		0.00274837
1_1	1	Ccpt	22.6		0.0026799
1_1	1	Ccpt	22.7		0.00261313
1_1	1	Ccpt	22.8		0.00254803
1_1	1	Ccpt	22.9		0.00248455
1_1	1	Ccpt	23		0.00242265
1_1	1	Ccpt	23.1		0.00236229
1_1	1	Ccpt	23.2		0.00230343
1_1	1	Ccpt	23.3		0.00224605
1_1	1	Ccpt	23.4		0.00219009
1_1	1	Ccpt	23.5		0.00213553
1_1	1	Ccpt	23.6		0.00208232
1_1	1	Ccpt	23.7		0.00203044
1_1	1	Ccpt	23.8		0.00197986
1_1	1	Ccpt	23.9		0.00193053
1_1	1	Ccpt	24		0.00188243
1_1	1	Ccpt	24.1		0.00183553
1_1	1	Ccpt	24.2		0.0017898
1_1	1	Ccpt	24.3		0.00174521
1_1	1	Ccpt	24.4		0.00170173
1_1	1	Ccpt	24.5		0.00165934
1_1	1	Ccpt	24.6		0.001618
1_1	1	Ccpt	24.7		0.00157769
1_1	1	Ccpt	24.8		0.00153838
1_1	1	Ccpt	24.9		0.00150005
1_1	1	Ccpt	25		0.00146268
