Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt	21.3		0.0057179
1_1	1	Ccpt	21.4		0.00558287
1_1	1	Ccpt	21.5		0.00545102
1_1	1	Ccpt	21.6		0.00532229
1_1	1	Ccpt	21.7		0.0051966
1_1	1	Ccpt	21.8		0.00507387
1_1	1	Ccpt	21.9		0.00495405
1_1	1	Ccpt	22		0.00483705
1_1	1	Ccpt	22.1		0.00472282
1_1	1	Ccpt	22.2		0.00461128
1_1	1	Ccpt	22.3		0.00450238
1_1	1	Ccpt	22.4		0.00439605
1_1	1	Ccpt	22.5		0.00429223
1_1	1	Ccpt	22.6		0.00419087
1_1	1	Ccpt	22.7		0.0040919
1_1	1	Ccpt	22.8		0.00399526
1_1	1	Ccpt	22.9		0.00390091
1_1	1	Ccpt	23		0.00380878
1_1	1	Ccpt	23.1		0.00371883
1_1	1	Ccpt	23.2		0.00363101
1_1	1	Ccpt	23.3		0.00354526
1_1	1	Ccpt	23.4		0.00346153
1_1	1	Ccpt	23.5		0.00337978
1_1	1	Ccpt	23.6		0.00329997
1_1	1	Ccpt	23.7		0.00322203
1_1	1	Ccpt	23.8		0.00314594
1_1	1	Ccpt	23.9		0.00307164
1_1	1	Ccpt	24		0.0029991
1_1	1	Ccpt	24.1		0.00292828
1_1	1	Ccpt	24.2		0.00285912
1_1	1	Ccpt	24.3		0.0027916
1_1	1	Ccpt	24.4		0.00272567
1_1	1	Ccpt	24.5		0.0026613
1_1	1	Ccpt	24.6		0.00259845
1_1	1	Ccpt	24.7		0.00253709
1_1	1	Ccpt	24.8		0.00247717
1_1	1	Ccpt	24.9		0.00241867
1_1	1	Ccpt	25		0.00236155
1_1	1	Ccpt	25.1		0.00230578
1_1	1	Ccpt	25.2		0.00225132
1_1	1	Ccpt	25.3		0.00219816
1_1	1	Ccpt	25.4		0.00214624
1_1	1	Ccpt	25.5		0.00209556
1_1	1	Ccpt	25.6		0.00204607
1_1	1	Ccpt	25.7		0.00199775
1_1	1	Ccpt	25.8		0.00195057
1_1	1	Ccpt	25.9		0.0019045
1_1	1	Ccpt	26		0.00185953
1_1	1	Ccpt	26.1		0.00181561
1_1	1	Ccpt	26.2		0.00177273
1_1	1	Ccpt	26.3		0.00173087
1_1	1	Ccpt	26.4		0.00168999
1_1	1	Ccpt	26.5		0.00165008
1_1	1	Ccpt	26.6		0.00161111
1_1	1	Ccpt	26.7		0.00157306
1_1	1	Ccpt	26.8		0.00153591
1_1	1	Ccpt	26.9		0.00149964
1_1	1	Ccpt	27		0.00146422
1_1	1	Ccpt	27.1		0.00142964
1_1	1	Ccpt	27.2		0.00139588
1_1	1	Ccpt	27.3		0.00136291
1_1	1	Ccpt	27.4		0.00133072
1_1	1	Ccpt	27.5		0.0012993
1_1	1	Ccpt	27.6		0.00126861
1_1	1	Ccpt	27.7		0.00123865
1_1	1	Ccpt	27.8		0.0012094
1_1	1	Ccpt	27.9		0.00118083
1_1	1	Ccpt	28		0.00115295
1_1	1	Ccpt	28.1		0.00112572
1_1	1	Ccpt	28.2		0.00109913
1_1	1	Ccpt	28.3		0.00107318
1_1	1	Ccpt	28.4		0.00104783
1_1	1	Ccpt	28.5		0.00102309
1_1	1	Ccpt	28.6		0.000998925
1_1	1	Ccpt	28.7		0.000975334
1_1	1	Ccpt	28.8		0.000952301
1_1	1	Ccpt	28.9		0.000929811
1_1	1	Ccpt	29		0.000907852
1_1	1	Ccpt	29.1		0.000886412
1_1	1	Ccpt	29.2		0.000865478
1_1	1	Ccpt	29.3		0.000845039
1_1	1	Ccpt	29.4		0.000825082
1_1	1	Ccpt	29.5		0.000805597
1_1	1	Ccpt	29.6		0.000786572
1_1	1	Ccpt	29.7		0.000767996
1_1	1	Ccpt	29.8		0.000749859
1_1	1	Ccpt	29.9		0.00073215
1_1	1	Ccpt	30		0.000714859
1_1	1	Ccpt	30.1		0.000697977
1_1	1	Ccpt	30.2		0.000681493
1_1	1	Ccpt	30.3		0.000665399
1_1	1	Ccpt	30.4		0.000649685
1_1	1	Ccpt	30.5		0.000634342
1_1	1	Ccpt	30.6		0.000619361
1_1	1	Ccpt	30.7		0.000604734
1_1	1	Ccpt	30.8		0.000590452
1_1	1	Ccpt	30.9		0.000576508
1_1	1	Ccpt	31		0.000562893
1_1	1	Ccpt	31.1		0.0005496
1_1	1	Ccpt	31.2		0.00053662
1_1	1	Ccpt	31.3		0.000523947
1_1	1	Ccpt	31.4		0.000511574
1_1	1	Ccpt	31.5		0.000499492
1_1	1	Ccpt	31.6		0.000487696
1_1	1	Ccpt	31.7		0.000476178
1_1	1	Ccpt	31.8		0.000464933
1_1	1	Ccpt	31.9		0.000453953
1_1	1	Ccpt	32		0.000443232
1_1	1	Ccpt	32.1		0.000432765
1_1	1	Ccpt	32.2		0.000422544
1_1	1	Ccpt	32.3		0.000412566
1_1	1	Ccpt	32.4		0.000402822
1_1	1	Ccpt	32.5		0.000393309
1_1	1	Ccpt	32.6		0.000384021
1_1	1	Ccpt	32.7		0.000374952
1_1	1	Ccpt	32.8		0.000366097
1_1	1	Ccpt	32.9		0.000357451
1_1	1	Ccpt	33		0.000349009
1_1	1	Ccpt	33.1		0.000340767
1_1	1	Ccpt	33.2		0.000332719
1_1	1	Ccpt	33.3		0.000324862
1_1	1	Ccpt	33.4		0.00031719
1_1	1	Ccpt	33.5		0.000309699
1_1	1	Ccpt	33.6		0.000302385
1_1	1	Ccpt	33.7		0.000295244
1_1	1	Ccpt	33.8		0.000288271
1_1	1	Ccpt	33.9		0.000281463
