Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt	29.3		0.000240451
1_1	1	Ccpt	29.4		0.000234195
1_1	1	Ccpt	29.5		0.000228101
1_1	1	Ccpt	29.6		0.000222167
1_1	1	Ccpt	29.7		0.000216386
1_1	1	Ccpt	29.8		0.000210756
1_1	1	Ccpt	29.9		0.000205273
1_1	1	Ccpt	30		0.000199932
1_1	1	Ccpt	30.1		0.00019473
1_1	1	Ccpt	30.2		0.000189663
1_1	1	Ccpt	30.3		0.000184728
1_1	1	Ccpt	30.4		0.000179922
1_1	1	Ccpt	30.5		0.000175241
1_1	1	Ccpt	30.6		0.000170681
1_1	1	Ccpt	30.7		0.00016624
1_1	1	Ccpt	30.8		0.000161915
1_1	1	Ccpt	30.9		0.000157702
1_1	1	Ccpt	31		0.000153599
1_1	1	Ccpt	31.1		0.000149603
1_1	1	Ccpt	31.2		0.00014571
1_1	1	Ccpt	31.3		0.000141919
1_1	1	Ccpt	31.4		0.000138227
1_1	1	Ccpt	31.5		0.00013463
1_1	1	Ccpt	31.6		0.000131127
1_1	1	Ccpt	31.7		0.000127716
1_1	1	Ccpt	31.8		0.000124393
1_1	1	Ccpt	31.9		0.000121156
1_1	1	Ccpt	32		0.000118004
1_1	1	Ccpt	32.1		0.000114933
1_1	1	Ccpt	32.2		0.000111943
1_1	1	Ccpt	32.3		0.00010903
1_1	1	Ccpt	32.4		0.000106194
1_1	1	Ccpt	32.5		0.000103431
1_1	1	Ccpt	32.6		0.00010074
1_1	1	Ccpt	32.7		9.81185e-005
1_1	1	Ccpt	32.8		9.55656e-005
1_1	1	Ccpt	32.9		9.30791e-005
1_1	1	Ccpt	33		9.06573e-005
1_1	1	Ccpt	33.1		8.82986e-005
1_1	1	Ccpt	33.2		8.60012e-005
1_1	1	Ccpt	33.3		8.37636e-005
1_1	1	Ccpt	33.4		8.15841e-005
1_1	1	Ccpt	33.5		7.94615e-005
1_1	1	Ccpt	33.6		7.7394e-005
1_1	1	Ccpt	33.7		7.53803e-005
1_1	1	Ccpt	33.8		7.3419e-005
1_1	1	Ccpt	33.9		7.15088e-005
1_1	1	Ccpt	34		6.96482e-005
1_1	1	Ccpt	34.1		6.78361e-005
1_1	1	Ccpt	34.2		6.60711e-005
1_1	1	Ccpt	34.3		6.4352e-005
1_1	1	Ccpt	34.4		6.26777e-005
1_1	1	Ccpt	34.5		6.10469e-005
1_1	1	Ccpt	34.6		5.94586e-005
1_1	1	Ccpt	34.7		5.79115e-005
1_1	1	Ccpt	34.8		5.64048e-005
1_1	1	Ccpt	34.9		5.49372e-005
1_1	1	Ccpt	35		5.35078e-005
1_1	1	Ccpt	35.1		5.21156e-005
1_1	1	Ccpt	35.2		5.07596e-005
1_1	1	Ccpt	35.3		4.9439e-005
1_1	1	Ccpt	35.4		4.81526e-005
1_1	1	Ccpt	35.5		4.68998e-005
1_1	1	Ccpt	35.6		4.56795e-005
1_1	1	Ccpt	35.7		4.4491e-005
1_1	1	Ccpt	35.8		4.33334e-005
1_1	1	Ccpt	35.9		4.22059e-005
1_1	1	Ccpt	36		4.11078e-005
1_1	1	Ccpt	36.1		4.00382e-005
1_1	1	Ccpt	36.2		3.89965e-005
1_1	1	Ccpt	36.3		3.79819e-005
1_1	1	Ccpt	36.4		3.69936e-005
1_1	1	Ccpt	36.5		3.60311e-005
1_1	1	Ccpt	36.6		3.50937e-005
1_1	1	Ccpt	36.7		3.41806e-005
1_1	1	Ccpt	36.8		3.32912e-005
1_1	1	Ccpt	36.9		3.24251e-005
1_1	1	Ccpt	37		3.15814e-005
1_1	1	Ccpt	37.1		3.07597e-005
1_1	1	Ccpt	37.2		2.99594e-005
1_1	1	Ccpt	37.3		2.91799e-005
1_1	1	Ccpt	37.4		2.84207e-005
