Results of Simulation 1

Time	Ccpt_out	Ctot_out	Qu_out	Qu_tot_out
17.6	5.54917e-008	1.10983e-007	49981.3	75142.6
17.7	4.99545e-008	9.9909e-008	49981.3	75142.6
17.8	4.49696e-008	8.99392e-008	49981.3	75142.6
17.9	4.04821e-008	8.09642e-008	49981.3	75142.6
18	3.64424e-008	7.28848e-008	49981.3	75142.6
18.1	3.28058e-008	6.56116e-008	49981.3	75142.6
18.2	2.95321e-008	5.90643e-008	49981.3	75142.6
18.3	2.65851e-008	5.31703e-008	49981.3	75142.6
18.4	2.39323e-008	4.78646e-008	49981.3	75142.6
18.5	2.15442e-008	4.30883e-008	49981.3	75142.6
18.6	1.93943e-008	3.87886e-008	49981.3	75142.6
18.7	1.74591e-008	3.49182e-008	49981.3	75142.6
18.8	1.57168e-008	3.14337e-008	49981.3	75142.6
18.9	1.41485e-008	2.82969e-008	49981.3	75142.6
19	1.27366e-008	2.54732e-008	49981.3	75142.6
19.1	1.14656e-008	2.29312e-008	49981.3	75142.6
19.2	1.03215e-008	2.06429e-008	49981.3	75142.6
19.3	9.2915e-009	1.8583e-008	49981.3	75142.6
19.4	8.3643e-009	1.67286e-008	49981.3	75142.6
19.5	7.52963e-009	1.50593e-008	49981.3	75142.6
19.6	6.77824e-009	1.35565e-008	49981.3	75142.6
19.7	6.10185e-009	1.22037e-008	49981.3	75142.6
19.8	5.49296e-009	1.09859e-008	49981.3	75142.6
19.9	4.94484e-009	9.88968e-009	49981.3	75142.6
20	4.4514e-009	8.9028e-009	49981.3	75142.6
20.1	4.0072e-009	8.01439e-009	49981.3	75142.6
20.2	3.60732e-009	7.21464e-009	49981.3	75142.6
20.3	3.24735e-009	6.49471e-009	49981.3	75142.6
20.4	2.9233e-009	5.84661e-009	49981.3	75142.6
20.5	2.63159e-009	5.26318e-009	49981.3	75142.6
20.6	2.36898e-009	4.73797e-009	49981.3	75142.6
20.7	2.13258e-009	4.26517e-009	49981.3	75142.6
20.8	1.91977e-009	3.83955e-009	49981.3	75142.6
20.9	1.72821e-009	3.45642e-009	49981.3	75142.6
21	1.55575e-009	3.1115e-009	49981.3	75142.6
21.1	1.4005e-009	2.80101e-009	49981.3	75142.6
21.2	1.26075e-009	2.5215e-009	49981.3	75142.6
21.3	1.13494e-009	2.26988e-009	49981.3	75142.6
21.4	1.02169e-009	2.04338e-009	49981.3	75142.6
21.5	9.19739e-010	1.83948e-009	49981.3	75142.6
21.6	8.27959e-010	1.65592e-009	49981.3	75142.6
21.7	7.45338e-010	1.49068e-009	49981.3	75142.6
21.8	6.70964e-010	1.34193e-009	49981.3	75142.6
21.9	6.0401e-010	1.20802e-009	49981.3	75142.6
22	5.43736e-010	1.08747e-009	49981.3	75142.6
22.1	4.89477e-010	9.78954e-010	49981.3	75142.6
22.2	4.40632e-010	8.81265e-010	49981.3	75142.6
22.3	3.96662e-010	7.93323e-010	49981.3	75142.6
22.4	3.57079e-010	7.14158e-010	49981.3	75142.6
22.5	3.21447e-010	6.42895e-010	49981.3	75142.6
22.6	2.89371e-010	5.78741e-010	49981.3	75142.6
22.7	2.60495e-010	5.2099e-010	49981.3	75142.6
22.8	2.34501e-010	4.69002e-010	49981.3	75142.6
22.9	2.11101e-010	4.22201e-010	49981.3	75142.6
23	1.90035e-010	3.8007e-010	49981.3	75142.6
23.1	1.71072e-010	3.42143e-010	49981.3	75142.6
23.2	1.54001e-010	3.08001e-010	49981.3	75142.6
23.3	1.38633e-010	2.77267e-010	49981.3	75142.6
23.4	1.248e-010	2.49599e-010	49981.3	75142.6
23.5	1.12341e-010	2.24683e-010	49981.3	75142.6
23.6	1.01126e-010	2.02252e-010	49981.3	75142.6
23.7	9.10339e-011	1.82068e-010	49981.3	75142.6
23.8	8.1946e-011	1.63892e-010	49981.3	75142.6
23.9	7.37648e-011	1.4753e-010	49981.3	75142.6
24	6.63975e-011	1.32795e-010	49981.3	75142.6
24.1	5.97663e-011	1.19533e-010	49981.3	75142.6
24.2	5.38006e-011	1.07601e-010	49981.3	75142.6
24.3	4.84295e-011	9.6859e-011	49981.3	75142.6
24.4	4.35927e-011	8.71854e-011	49981.3	75142.6
24.5	3.92417e-011	7.84835e-011	49981.3	75142.6
24.6	3.5323e-011	7.0646e-011	49981.3	75142.6
24.7	3.17955e-011	6.3591e-011	49981.3	75142.6
24.8	2.86188e-011	5.72376e-011	49981.3	75142.6
24.9	2.57617e-011	5.15234e-011	49981.3	75142.6
25	2.31899e-011	4.63798e-011	49981.3	75142.6
25.1	2.08758e-011	4.17516e-011	49981.3	75142.6
25.2	1.87918e-011	3.75836e-011	49981.3	75142.6
25.3	1.69153e-011	3.38306e-011	49981.3	75142.6
25.4	1.52257e-011	3.04514e-011	49981.3	75142.6
25.5	1.37368e-011	2.74735e-011	49981.3	75142.6
25.6	1.24017e-011	2.48034e-011	49981.3	75142.6
25.7	1.11964e-011	2.23927e-011	49981.3	75142.6
25.8	1.01082e-011	2.02163e-011	49981.3	75142.6
25.9	9.12575e-012	1.82515e-011	49981.3	75142.6
26	8.23881e-012	1.64776e-011	49981.3	75142.6
26.1	7.43807e-012	1.48761e-011	49981.3	75142.6
26.2	6.71516e-012	1.34303e-011	49981.3	75142.6
26.3	6.06251e-012	1.2125e-011	49981.3	75142.6
26.4	5.47329e-012	1.09466e-011	49981.3	75142.6
26.5	4.94133e-012	9.88267e-012	49981.3	75142.6
26.6	4.46108e-012	8.92216e-012	49981.3	75142.6
26.7	4.0275e-012	8.05501e-012	49981.3	75142.6
26.8	3.63607e-012	7.27214e-012	49981.3	75142.6
26.9	3.28268e-012	6.56535e-012	49981.3	75142.6
27	2.96363e-012	5.92726e-012	49981.3	75142.6
27.1	2.67559e-012	5.35118e-012	49981.3	75142.6
27.2	2.41555e-012	4.8311e-012	49981.3	75142.6
27.3	2.18078e-012	4.36156e-012	49981.3	75142.6
27.4	1.96883e-012	3.93766e-012	49981.3	75142.6
27.5	1.77748e-012	3.55495e-012	49981.3	75142.6
27.6	1.60472e-012	3.20944e-012	49981.3	75142.6
27.7	1.44876e-012	2.89751e-012	49981.3	75142.6
27.8	1.30795e-012	2.6159e-012	49981.3	75142.6
27.9	1.18083e-012	2.36166e-012	49981.3	75142.6
28	1.06606e-012	2.13213e-012	49981.3	75142.6
28.1	9.62452e-013	1.9249e-012	49981.3	75142.6
28.2	8.68911e-013	1.73782e-012	49981.3	75142.6
28.3	7.84461e-013	1.56892e-012	49981.3	75142.6
28.4	7.08218e-013	1.41644e-012	49981.3	75142.6
28.5	6.39386e-013	1.27877e-012	49981.3	75142.6
28.6	5.77243e-013	1.15449e-012	49981.3	75142.6
28.7	5.21141e-013	1.04228e-012	49981.3	75142.6
28.8	4.70491e-013	9.40981e-013	49981.3	75142.6
28.9	4.24763e-013	8.49526e-013	49981.3	75142.6
29	3.8348e-013	7.6696e-013	49981.3	75142.6
29.1	3.46209e-013	6.92419e-013	49981.3	75142.6
29.2	3.12561e-013	6.25122e-013	49981.3	75142.6
29.3	2.82183e-013	5.64366e-013	49981.3	75142.6
29.4	2.54757e-013	5.09514e-013	49981.3	75142.6
29.5	2.29997e-013	4.59994e-013	49981.3	75142.6
29.6	2.07644e-013	4.15287e-013	49981.3	75142.6
29.7	1.87462e-013	3.74925e-013	49981.3	75142.6
29.8	1.69243e-013	3.38486e-013	49981.3	75142.6
29.9	1.52794e-013	3.05588e-013	49981.3	75142.6
30	1.37944e-013	2.75888e-013	49981.3	75142.6
30.1	1.24537e-013	2.49074e-013	49981.3	75142.6
30.2	1.12433e-013	2.24866e-013	49981.3	75142.6
30.3	1.01506e-013	2.03011e-013	49981.3	75142.6
30.4	9.16402e-014	1.8328e-013	49981.3	75142.6
30.5	8.27336e-014	1.65467e-013	49981.3	75142.6
30.6	7.46926e-014	1.49385e-013	49981.3	75142.6
30.7	6.74332e-014	1.34866e-013	49981.3	75142.6
30.8	6.08793e-014	1.21759e-013	49981.3	75142.6
30.9	5.49624e-014	1.09925e-013	49981.3	75142.6
31	4.96206e-014	9.92411e-014	49981.3	75142.6
31.1	4.47979e-014	8.95958e-014	49981.3	75142.6
31.2	4.04439e-014	8.08879e-014	49981.3	75142.6
31.3	3.65132e-014	7.30263e-014	49981.3	75142.6
31.4	3.29644e-014	6.59288e-014	49981.3	75142.6
31.5	2.97606e-014	5.95211e-014	49981.3	75142.6
31.6	2.68681e-014	5.37362e-014	49981.3	75142.6
31.7	2.42568e-014	4.85136e-014	49981.3	75142.6
31.8	2.18992e-014	4.37985e-014	49981.3	75142.6
31.9	1.97708e-014	3.95417e-014	49981.3	75142.6
32	1.78493e-014	3.56986e-014	49981.3	75142.6
32.1	1.61145e-014	3.2229e-014	49981.3	75142.6
32.2	1.45483e-014	2.90966e-014	49981.3	75142.6
32.3	1.31344e-014	2.62687e-014	49981.3	75142.6
32.4	1.18578e-014	2.37156e-014	49981.3	75142.6
32.5	1.07053e-014	2.14107e-014	49981.3	75142.6
32.6	9.66488e-015	1.93298e-014	49981.3	75142.6
32.7	8.72555e-015	1.74511e-014	49981.3	75142.6
32.8	7.8775e-015	1.5755e-014	49981.3	75142.6
32.9	7.11188e-015	1.42238e-014	49981.3	75142.6
33	6.42067e-015	1.28413e-014	49981.3	75142.6
33.1	5.79664e-015	1.15933e-014	49981.3	75142.6
33.2	5.23326e-015	1.04665e-014	49981.3	75142.6
33.3	4.72464e-015	9.44927e-015	49981.3	75142.6
33.4	4.26544e-015	8.53089e-015	49981.3	75142.6
33.5	3.85088e-015	7.70176e-015	49981.3	75142.6
33.6	3.47661e-015	6.95322e-015	49981.3	75142.6
33.7	3.13872e-015	6.27743e-015	49981.3	75142.6
33.8	2.83366e-015	5.66732e-015	49981.3	75142.6
33.9	2.55826e-015	5.11651e-015	49981.3	75142.6
34	2.30962e-015	4.61923e-015	49981.3	75142.6
34.1	2.08514e-015	4.17029e-015	49981.3	75142.6
34.2	1.88249e-015	3.76497e-015	49981.3	75142.6
34.3	1.69953e-015	3.39905e-015	49981.3	75142.6
34.4	1.53435e-015	3.06869e-015	49981.3	75142.6
34.5	1.38522e-015	2.77045e-015	49981.3	75142.6
34.6	1.25059e-015	2.50118e-015	49981.3	75142.6
34.7	1.12905e-015	2.25809e-015	49981.3	75142.6
34.8	1.01931e-015	2.03863e-015	49981.3	75142.6
34.9	1e-015	1.84049e-015	49981.3	75142.6
35	1e-015	1.66161e-015	49981.3	75142.6
35.1	1e-015	1.50012e-015	49981.3	75142.6
35.2	1e-015	1.35432e-015	49981.3	75142.6
35.3	1e-015	1.22269e-015	49981.3	75142.6
35.4	1e-015	1.10386e-015	49981.3	75142.6
35.5	1e-015	1e-015	49981.3	75142.6
35.6	1e-015	1e-015	49981.3	75142.6
35.7	1e-015	1e-015	49981.3	75142.6
35.8	1e-015	1e-015	49981.3	75142.6
35.9	1e-015	1e-015	49981.3	75142.6
36	1e-015	1e-015	49981.3	75142.6
36.1	1e-015	1e-015	49981.3	75142.6
36.2	1e-015	1e-015	49981.3	75142.6
36.3	1e-015	1e-015	49981.3	75142.6
36.4	1e-015	1e-015	49981.3	75142.6
36.5	1e-015	1e-015	49981.3	75142.6
36.6	1e-015	1e-015	49981.3	75142.6
36.7	1e-015	1e-015	49981.3	75142.6
36.8	1e-015	1e-015	49981.3	75142.6
36.9	1e-015	1e-015	49981.3	75142.6
37	1e-015	1e-015	49981.3	75142.6
37.1	1e-015	1e-015	49981.3	75142.6
37.2	1e-015	1e-015	49981.3	75142.6
37.3	1e-015	1e-015	49981.3	75142.6
37.4	1e-015	1e-015	49981.3	75142.6
37.5	1e-015	1e-015	49981.3	75142.6
37.6	1e-015	1e-015	49981.3	75142.6
37.7	1e-015	1e-015	49981.3	75142.6
37.8	1e-015	1e-015	49981.3	75142.6
37.9	1e-015	1e-015	49981.3	75142.6
38	1e-015	1e-015	49981.3	75142.6
38.1	1e-015	1e-015	49981.3	75142.6
38.2	1e-015	1e-015	49981.3	75142.6
38.3	1e-015	1e-015	49981.3	75142.6
38.4	1e-015	1e-015	49981.3	75142.6
